Fuel Production,,,,,,,,,,,Reactors & Power,,,Waste,,,,,
,Cummulative SWU - fueltype,,,Total SWU,Consumed U Ore,,,Consumed U,,,operating reactors,,,sum reactor wet storage -Fueltype,,,sum reactor dry storage-Fueltype,,
,SWU,,,SWU,Kt,,,Kt,,,reactor,,,Kt,,,Kt,,
,1,2,3,,1,2,3,1,2,3,1,2,3,1,2,3,1,2,3
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,154332000000,0,0,154332245.2,263.3135901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,237672000000,0,0,273218468.2,339.6745312,5.052642857,0,32.90530303,3.368428571,0,350,0,0,0,0,0,0,0,0
2009,324098000000,0,0,396126778.4,418.6686082,8.554035714,0,41.53380471,6.8255,0,364,38,0,7.312289562,1.684214285,0,0,0,0
2010,413610000000,0,0,523992618.4,500.2958211,12.27703571,0,50.45479798,10.45985714,0,378,39,0,14.91707071,5.096964284,0,0,0,0
2011,506210000000,0,0,655880545.6,584.55617,16.04435714,0,59.66828283,14.18285714,0,392,41,0,22.81434343,8.642678568,0,0,0,0
2012,601896000000,0,0,792726002.5,671.4496547,20.03328571,0,69.17425926,18.08314286,0,406,42,0,31.00410774,12.32135714,0,0,0,0
2013,700668000000,0,0,933593546.7,760.9762753,24.06653571,0,78.97272727,22.07207143,0,420,44,0,39.48636364,16.13299999,0,0,0,0
2014,802528000000,0,0,1079418621,853.1360319,28.32139286,0,89.06368687,26.23828571,0,434,45,0,42.77689394,18.81444642,0,5.484217172,1.263160714,0
2015,907474000000,0,0,1229265782,947.9289243,32.62057143,0,99.44713805,30.49314286,0,448,47,0,44.31247475,19.91140178,0,13.01587542,4.243776784,0
2016,1015510000000,0,0,1384070473,1045.354953,37.14135714,0,110.1230808,34.92528571,0,462,48,0,45.84805556,20.60946428,0,20.84002525,7.756249997,0
2017,1126630000000,0,0,1542897251,1145.414117,41.70646429,0,121.0915152,39.44607143,0,476,50,0,47.38363636,21.30752678,0,28.95666667,11.4016875,0
2018,1240830000000,0,0,1706681558,1248.106417,46.49317857,0,132.3524411,44.14414286,0,490,51,0,48.91921717,22.00558928,0,37.36579966,15.18008928,0
2019,1358120000000,0,0,1874487953,1353.431853,51.32421429,0,143.9058586,48.93085714,0,504,53,0,50.45479798,22.70365178,0,46.06742424,19.09145535,0
2020,1478500000000,0,0,2047251878,1461.390425,56.37685714,0,155.7517677,53.89485714,0,518,54,0,51.99037879,23.40171428,0,55.0615404,23.1357857,0
2021,1601970000000,0,0,2224037890,1571.982133,61.47382143,0,167.8901684,58.9475,0,532,56,0,53.5259596,24.09977678,0,64.34814815,27.31308035,0
2022,1728520000000,0,0,2405781432,1685.206976,66.79239286,0,180.3210606,64.17742857,0,546,57,0,55.0615404,24.79783928,0,73.92724747,31.62333927,0
2023,1858160000000,0,0,2591547061,1801.064956,72.15528571,0,193.0444444,69.496,0,560,59,0,56.59712121,25.49590178,0,83.79883838,36.06656249,0
2024,1990890000000,0,0,2782270220,1919.556072,77.73978571,0,206.0603199,74.99185714,0,574,60,0,58.13270202,26.19396428,0,93.96292088,40.64274998,0
2025,2126700000000,0,0,2977015466,2040.680323,83.36860714,0,219.3686869,80.57635714,0,588,62,0,59.66828283,26.89202677,0,104.4194949,45.35190177,0
2026,2265600000000,0,0,3176718241,2164.43771,89.21903571,0,232.9695455,86.33814286,0,602,63,0,61.20386364,27.59008927,0,115.1685606,50.19401784,0
2027,2407580000000,0,0,3380443104,2290.828234,95.11378571,0,246.8628956,92.18857143,0,616,65,0,62.73944444,28.28815177,0,126.2101178,55.16909819,0
2028,2552660000000,0,0,3589125497,2419.851893,101.2301429,0,261.0487374,98.21628571,0,630,66,0,64.27502525,28.98621427,0,137.5441667,60.27714283,0
2029,2700810000000,0,0,3801829976,2551.508688,107.3908214,0,275.5270707,104.3326429,0,644,68,0,65.81060606,29.68427677,0,149.1707071,65.51815176,0
2030,2862640000000,0,0,4029139326,2703.854408,113.6401429,0,290.2978956,110.5376429,0,658,69,0,67.34618687,30.38233927,0,161.0897391,70.89212497,0
2031,3032850000000,0,0,4268568482,2863.347211,120.377,0,307.6175758,117.0972143,0,696,70,0,68.88176768,31.03608034,0,173.3012626,76.39906247,0
2032,3210990000000,0,0,4519676493,3029.234773,127.4684286,0,325.7311616,124.0113571,0,734,74,0,70.91876263,31.77846427,0,185.8052778,82.03896425,0
2033,3397730000000,0,0,4783124786,3202.833661,134.9144286,0,344.544638,131.2800714,0,771,78,0,73.45717172,32.74245534,0,198.6017845,87.81183032,0
2034,3592410000000,0,0,5058251934,3382.827308,142.715,0,364.2251431,138.9033571,0,809,82,0,76.47610269,33.92805356,0,211.6907828,93.71766068,0
2035,3795690000000,0,0,5345719363,3570.532281,150.8701429,0,384.6055387,146.8812143,0,846,86,0,79.99644781,35.33525891,0,225.0722727,99.75645532,0
2036,4007350000000,0,0,5645306598,3765.384338,159.3798571,0,405.852963,155.2136429,0,884,90,0,83.99731481,36.99731249,0,238.7462542,105.8949732,0
2037,4226940000000,0,0,5956572689,3966.631153,168.2441429,0,427.8942929,163.9006429,0,922,94,0,88.12353535,38.82557141,0,253.0887879,112.2218571,0
2038,4455130000000,0,0,6280179060,4175.589295,177.463,0,450.6355135,172.9422143,0,959,98,0,92.24975589,40.68707141,0,268.2252273,118.8700714,0
2039,4691260000000,0,0,6615464288,4390.942196,187.0364286,0,474.2437626,182.3383571,0,997,102,0,96.37075337,42.54857141,0,284.1399032,125.8728571,0
2040,4935990000000,0,0,6963089796,4614.006423,196.9644286,0,498.5519024,192.0890714,0,1034,106,0,100.4969739,44.41007141,0,300.8432618,133.2302142,0
2041,5189090000000,0,0,7322835110,4844.217733,207.247,0,523.7270707,202.1943571,0,1072,110,0,104.6179714,46.27157141,0,318.3248569,140.9421428,0
2042,5450130000000,0,0,7694259280,5080.823802,217.8841429,0,549.6961448,212.6542143,0,1110,114,0,108.7441919,48.13307141,0,336.5951347,149.0086428,0
2043,5719770000000,0,0,8078023731,5325.141197,228.8758571,0,576.3651094,223.4686429,0,1147,118,0,112.8704125,49.99457141,0,355.6593182,157.4297142,0
2044,5997350000000,0,0,8473467038,5575.853351,240.2221429,0,603.9011027,234.6376429,0,1185,122,0,116.9914099,51.85607141,0,375.5017382,166.2053571,0
2045,6283530000000,0,0,8881250625,5834.276832,251.923,0,632.1369865,246.1612143,0,1222,126,0,121.1176305,53.71757141,0,396.1328409,175.3355714,0
2046,6578080000000,0,0,9301154018,6099.847395,263.9784286,0,661.239899,258.0393571,0,1260,130,0,125.2386279,55.57907141,0,417.5421801,184.8203571,0
2047,7034900000000,0,0,9887068513,6635.126308,276.3884286,0,691.1367172,270.2720714,0,1298,134,0,129.3648485,57.44057141,0,439.740202,194.6597142,0
2048,7371460000000,0,0,10392002674,6941.7926,294.2056429,0,752.8106566,286.2277857,0,1335,138,0,160.9121549,59.3020714,0,462.7321296,204.8536428,0
2049,7697430000000,0,0,10864371156,7239.054835,308.2998571,0,785.5174832,301.7846071,0,1373,142,0,166.1299958,63.68989283,0,486.5022938,215.4021428,0
2050,8044350000000,0,0,11353709099,7565.093483,322.0616607,0,818.9242003,315.3248036,0,1410,146,0,171.3530598,66.68158926,0,511.0611406,226.3052142,0
2051,8405820000000,0,0,11863444883,7903.545487,336.466125,0,855.8303704,329.4633393,0,1476,150,0,176.5709007,69.16358926,0,536.3982239,237.562857,0
2052,8781840000000,0,0,12394981670,8254.410846,351.6018929,0,894.1154293,344.2445357,0,1542,157,0,184.2070202,71.84503569,0,562.5239899,249.1750713,0
2053,9172410000000,0,0,12946916299,8617.68956,367.2473571,0,933.7793771,359.6240714,0,1608,164,0,170.9743876,74.99185711,0,610.009476,261.141857,0
2054,9577090000000,0,0,13520210983,8992.629304,383.624125,0,974.8222138,375.6462679,0,1674,171,0,171.2094255,76.4433839,0,645.3852883,275.3579552,0
2055,9996540000000,0,0,14114123983,9380.546647,400.5105893,0,1017.149924,392.2668036,0,1739,178,0,178.0307471,78.17745979,0,674.9687226,289.5131115,0
2056,10430500000000,0,0,14729837987,9780.877344,418.1283571,0,1060.929646,409.53,0,1805,185,0,185.2437984,80.7093214,0,705.3303935,303.2915356,0
2057,10879100000000,0,0,15365949832,10193.6214,436.2558214,0,1106.088258,427.3915357,0,1871,192,0,191.2372643,83.50711157,0,738.2905387,317.4466918,0
2058,11342200000000,0,0,16023862681,10618.7788,455.1145893,0,1152.625758,445.8957321,0,1937,199,0,197.4396528,86.14977675,0,772.4206503,332.3553124,0
2059,11819400000000,0,0,16701732422,11055.59724,474.4830536,0,1200.542146,464.9982679,0,2003,206,0,203.8796907,88.81460264,0,807.6920013,347.8844329,0
2060,12311400000000,0,0,17401623642,11505.39328,494.5828214,0,1249.743409,484.7434643,0,2068,213,0,210.763689,91.773058,0,843.8982807,363.7182632,0
2061,12818000000000,0,0,18121912703,11967.60267,515.1922857,0,1300.396684,505.087,0,2134,220,0,217.9297327,95.0029821,0,881.1805114,379.9232856,0
2062,13339000000000,0,0,18864002768,12442.22542,536.5330536,0,1352.428847,526.0731964,0,2200,227,0,225.1480072,98.24398657,0,919.7894003,396.7155668,0
2063,13874700000000,0,0,19626490674,12929.26152,558.3835179,0,1405.839899,547.6577321,0,2266,234,0,232.3662816,101.5182321,0,959.777178,414.1172677,0
2064,14424400000000,0,0,20410338636,13427.95865,580.9652857,0,1460.62984,569.8849286,0,2332,241,0,239.584556,104.7592366,0,1001.143845,432.1505489,0
2065,14989000000000,0,0,21214804913,13939.63338,604.05675,0,1516.704655,592.7104643,0,2397,248,0,246.8028304,108.0334821,0,1043.8894,450.7932498,0
2066,15568000000000,0,0,22041072194,14463.72146,627.8795179,0,1574.231481,616.1786607,0,2463,255,0,254.0158817,111.2744866,0,1087.998176,470.0675311,0
2067,16161700000000,0,0,22887737316,15000.2229,652.2119821,0,1633.137197,640.2451964,0,2529,262,0,261.2341561,114.5487321,0,1133.480617,489.9512319,0
2068,16769900000000,0,0,23756203443,15549.1377,677.27575,0,1693.421801,664.9543929,0,2595,269,0,268.4524306,117.7897366,0,1180.341947,510.4665132,0
2069,17392100000000,0,0,24644626461,16109.71352,702.8492143,0,1755.085295,690.2619286,0,2661,276,0,275.670705,121.0639821,0,1228.582165,531.5912141,0
2070,18039800000000,0,0,25564718298,16701.32273,729.0210179,0,1818.033662,716.1234821,0,2726,283,0,282.8889794,124.3049866,0,1278.201273,553.3474953,0
2071,18703300000000,0,0,26510038734,17306.47379,756.2122143,0,1884.565051,742.8714643,0,2792,290,0,291.9823338,127.5127499,0,1329.183601,575.7131962,0
2072,19380900000000,0,0,27476719224,17923.28587,784.0903929,0,1952.475328,770.4393929,0,2858,297,0,301.0809112,130.8867187,0,1381.539594,598.7104774,0
2073,20073500000000,0,0,28464884967,18553.21662,812.5890714,0,2021.675703,798.6278214,0,2924,304,0,310.1011427,134.4712142,0,1435.274476,622.3171783,0
2074,20779800000000,0,0,29473323354,19194.10309,841.70825,0,2092.343758,827.43675,0,2990,311,0,319.1997201,138.1111116,0,1490.388247,646.5554596,0
2075,21501200000000,0,0,30503467468,19848.67246,871.4479286,0,2164.207896,856.8661786,0,3055,318,0,328.3453051,141.7620892,0,1546.880907,671.4031604,0
2076,22237300000000,0,0,31554766124,20515.70221,901.8081071,0,2237.612837,886.9161071,0,3121,325,0,336.2791393,145.4518482,0,1606.147014,696.8325801,0
2077,22987500000000,0,0,32626723252,21194.39299,932.7887857,0,2312.396667,917.5865357,0,3187,332,0,343.7428977,149.0197232,0,1667.256862,723.0043836,0
2078,23752600000000,0,0,33720165635,21886.20242,964.3899643,0,2388.470593,948.8774643,0,3253,339,0,351.1870697,152.3936919,0,1729.68684,749.9905934,0
2079,24531400000000,0,0,34833880660,22588.96759,996.6116429,0,2466.012201,980.7888929,0,3319,346,0,358.6704146,155.6679374,0,1793.53488,777.6970265,0
2080,25325400000000,0,0,35969301413,23305.41565,1029.453821,0,2544.749891,1013.320821,0,3384,353,0,366.0205713,158.9255624,0,1858.816651,806.04058,0
2081,26134000000000,0,0,37125876707,24034.3241,1062.9165,0,2625.028384,1046.47325,0,3450,360,0,373.2845476,162.1831874,0,1925.626168,835.0046336,0
2082,26956700000000,0,0,38303110474,24774.89357,1096.999679,0,2706.685766,1080.246179,0,3516,367,0,380.5015162,165.4408124,0,1993.856358,864.5891871,0
2083,27794300000000,0,0,39501829495,25528.5817,1131.703357,0,2789.633245,1114.639607,0,3582,374,0,387.7002041,168.6984374,0,2063.405372,894.7942407,0
2084,28645700000000,0,0,40720821159,26293.22556,1167.027536,0,2874.048405,1149.653536,0,3648,381,0,394.938065,171.9560624,0,2134.372448,925.6197943,0
2085,29512200000000,0,0,41961518551,27071.55232,1202.972214,0,2959.659646,1185.287964,0,3713,388,0,402.1367529,175.2136874,0,2206.67924,957.0658478,0
2086,30393300000000,0,0,43223370484,27862.33945,1239.537393,0,3046.811692,1221.542893,0,3779,395,0,409.3706965,178.4713124,0,2280.392342,989.1324014,0
2087,31442900000000,0,0,44660213135,28928.10121,1276.723071,0,3135.342626,1258.418321,0,3845,402,0,416.5876652,181.7289374,0,2355.496085,1021.819455,0
2088,32378500000000,0,0,46025220426,29770.65768,1319.581893,0,3256.240888,1299.282679,0,3911,409,0,451.207439,184.9865624,0,2431.918651,1055.127009,0
2089,33309400000000,0,0,47366255824,30608.37106,1358.983643,0,3348.772689,1340.014071,0,3977,416,0,459.5421433,190.7705089,0,2509.759279,1089.055062,0
2090,34267700000000,0,0,48733626130,31480.83242,1398.318911,0,3442.500572,1378.994768,0,4042,423,0,467.8376747,195.2912946,0,2588.939623,1123.603616,0
2091,35242200000000,0,0,50125799046,32367.07074,1438.562768,0,3540.255438,1418.839732,0,4108,430,0,478.3621486,199.4353481,0,2669.526277,1158.772669,0
2092,36231300000000,0,0,51540474547,33265.7224,1479.604411,0,3639.389192,1459.526804,0,4174,437,0,490.6977199,203.8453303,0,2751.503572,1194.562223,0
2093,37234900000000,0,0,52975547890,34176.78742,1521.15575,0,3739.901835,1500.812214,0,4240,444,0,482.2298274,208.4547588,0,2855.365505,1230.972276,0
2094,38252100000000,0,0,54431540338,35098.76115,1563.438393,0,3841.793367,1542.740286,0,4306,451,0,485.5973979,210.5489463,0,2947.757589,1269.897571,0
2095,39284600000000,0,0,55908536933,36034.41778,1606.230732,0,3944.880981,1585.266696,0,4371,458,0,495.2822643,212.9367633,0,3034.908329,1309.127575,0
2096,40331600000000,0,0,57407389651,36982.53479,1649.754375,0,4049.509398,1628.435768,0,4437,465,0,503.503367,215.9007588,0,3125.110644,1348.379741,0
2097,41393200000000,0,0,58926640209,37943.06515,1693.787714,0,4155.516705,1672.203179,0,4503,472,0,509.7932418,218.7816517,0,3218.623076,1388.357669,0
2098,42469300000000,0,0,60467691772,38916.00886,1738.552357,0,4262.9029,1716.61325,0,4569,479,0,515.8506902,221.4243169,0,3313.746822,1429.172165,0
2099,43559100000000,0,0,62028259277,39899.86128,1783.826696,0,4371.667984,1761.621661,0,4635,486,0,522.7373001,224.5046562,0,3409.415074,1470.191647,0
2100,44635000000000,0,0,63582131440,40847.74319,1829.832339,0,4481.62915,1807.272732,0,4700,493,0,530.0260859,227.7345803,0,3505.981692,1511.659883,0